Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
5.42098E-4,43.034861527,0.489340245,0.041872159,0.377521614,0
5.50362E-4,43.253943496,0.493121409,0.04148535,0.380403458,0
5.63631E-4,43.532930964,0.499076984,0.041001837,0.380403458,0
5.67209E-4,43.759212103,0.500658696,0.040615028,0.380403458,0
5.78468E-4,44.045573964,0.505572251,0.040131515,0.380403458,0
5.85205E-4,44.278340715,0.508466561,0.039744706,0.383285303,0
5.87801E-4,44.513039418,0.509572657,0.039357896,0.391930836,0
5.91543E-4,44.807855221,0.511158406,0.038874384,0.391930836,0
5.95544E-4,45.045343902,0.512842986,0.038487574,0.391930836,0
6.04497E-4,45.28570034,0.516569841,0.038100764,0.391930836,0
6.09708E-4,45.529266587,0.518713206,0.037713954,0.391930836,0
6.12321E-4,45.773968389,0.519780594,0.037327144,0.391930836,0
6.2286E-4,46.020848974,0.524038728,0.036940335,0.391930836,0
6.26963E-4,46.270881136,0.525676004,0.036553525,0.400576369,0
6.31866E-4,46.522940569,0.52761818,0.036166715,0.403458213,0
6.38065E-4,46.777595768,0.530050772,0.035779905,0.409221902,0
6.46164E-4,47.034446239,0.533191395,0.035393095,0.409221902,0
6.48203E-4,47.293225501,0.533975488,0.035006286,0.409221902,0
6.55971E-4,47.554553249,0.536938374,0.034619476,0.409221902,0
6.59782E-4,47.751844938,0.538378616,0.034329369,0.409221902,0
6.63446E-4,48.016495482,0.539754693,0.033942559,0.412103746,0
6.78957E-4,48.287214132,0.545490171,0.033555749,0.42074928,0
6.87115E-4,48.56086517,0.548449847,0.033168939,0.423631124,0
6.9125E-4,48.767538528,0.549935332,0.032878832,0.426512968,0
7.03626E-4,49.0466544,0.554323344,0.032492022,0.429394813,0
7.08149E-4,49.258570055,0.555905646,0.032201915,0.435158501,0
7.11376E-4,49.542775457,0.557027886,0.031815105,0.438040346,0
7.15634E-4,49.757084443,0.558499764,0.031524998,0.44092219,0
7.24777E-4,50.045550019,0.56162781,0.031138188,0.446685879,0
7.26047E-4,50.263250756,0.562058789,0.03084808,0.449567723,0
7.35411E-4,50.556378351,0.56521071,0.030461271,0.455331412,0
7.39747E-4,50.777824594,0.566654748,0.030171163,0.455331412,0
7.41582E-4,51.074033591,0.567263182,0.029784354,0.458213256,0
7.5015E-4,51.297608348,0.570080723,0.029494246,0.461095101,0
7.52522E-4,51.523143687,0.570854181,0.029204139,0.463976945,0
7.6243E-4,51.751001743,0.574055627,0.028914032,0.463976945,0
7.74539E-4,52.058856831,0.577904006,0.028527222,0.472622478,0
7.79242E-4,52.291769268,0.579380023,0.028237114,0.475504323,0
7.91471E-4,52.52764483,0.583170066,0.027947007,0.481268012,0
8.04908E-4,52.766765657,0.587256422,0.0276569,0.484149856,0
8.08602E-4,53.008861042,0.588365799,0.027366792,0.484149856,0
8.148E-4,53.252342204,0.590213921,0.027076685,0.4870317,0
8.23226E-4,53.580027928,0.592699829,0.026689875,0.4870317,0
8.35251E-4,53.829528253,0.596195845,0.026399768,0.489913545,0
8.3771E-4,54.080777358,0.596903329,0.026109661,0.492795389,0
8.57778E-4,54.25133539,0.602586223,0.025916256,0.498559078,0
8.65698E-4,54.510516028,0.604784965,0.025626148,0.504322767,0
8.81605E-4,54.773041964,0.609128838,0.025336041,0.507204611,0
8.82805E-4,55.037864843,0.609452677,0.025045934,0.507204611,0
8.94063E-4,55.305420132,0.612464472,0.024755826,0.510086455,0
9.10502E-4,55.576581137,0.616780004,0.024465719,0.510086455,0
